"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Release Extension (ft)","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle"
18,"Sun Feb 16 2025 7:27:45 PM",1739734065,"Fastball","Y","-4.71","37.32",78.6,1856.9,1743.5,93.9,"01:58",0.9,8.9,14.7,"-","-","10.0","16.9","-3.82","2.39","3.89","1.91",1.9072723388671875,"20.12","1277838@1739734065","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
19,"Sun Feb 16 2025 7:28:27 PM",1739734107,"Fastball","N","-6.63","43.45",84.9,2072.9,1868.9,90.2,"01:00",0.9,14.9,9.7,"-","-","16.2","9.4","-3.16","1.33","4.28","1.53",2.076641082763672,"25.64","1277838@1739734107","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
20,"Sun Feb 16 2025 7:41:10 PM",1739734870,"Slider","Y","9.97","38.70",77.57,1763.4,613.5,34.8,"00:20",1,7.9,-0.2,"-","-","7.2","0.5","-1.27","2.46","4.12","2.02",1.8295116424560547,"69.64","1277838@1739734870","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
21,"Sun Feb 16 2025 7:41:52 PM",1739734912,"Fastball","N","10.25","38.69",76.37,1532.4,1436.6,93.8,"02:00",1,8.8,15.9,"-","-","9.0","15.7","-2.75","2.61","3.97","2.07",1.8783740997314453,"20.36","1277838@1739734912","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
22,"Sun Feb 16 2025 7:42:14 PM",1739734934,"Slider","N","-4.14","42.95",75.47,2183.5,714,32.7,"09:30",0.9,4.3,-4,"-","-","2.1","-8.3","-2.00","3.47","4.02","1.83",1.9612350463867188,"70.91","1277838@1739734934","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
23,"Sun Feb 16 2025 7:42:47 PM",1739734967,"Fastball","N","16.38","42.29",77.18,1657.1,1423.5,85.9,"01:54",0.9,12.6,17.9,"-","-","9.2","14.3","-2.53","2.56","3.97","2.21",1.8647918701171875,"30.79","1277838@1739734967","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
24,"Sun Feb 16 2025 7:43:06 PM",1739734986,"Slider","N","15.59","52.39",78.12,1913.2,584.8,30.6,"11:40",0.9,10,-0.9,"-","-","6.5","-1.9","-0.40","3.20","4.25","1.74",2.0215511322021484,"72.20","1277838@1739734986","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
25,"Sun Feb 16 2025 7:43:27 PM",1739735007,"Fastball","Y","-2.48","34.67",83.32,2011.2,1829.2,91,"01:18",0.9,13.2,8.5,"-","-","14.8","11.9","-3.05","0.95","4.21","1.88",1.9912776947021484,"24.56","1277838@1739735007","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
26,"Sun Feb 16 2025 7:43:53 PM",1739735033,"Fastball","N","12.26","39.33",83.13,1938.4,1678.5,86.6,"01:38",0.9,8.4,15.4,"-","-","11.7","13.4","-2.34","2.07","4.05","1.89",1.9466972351074219,"30.01","1277838@1739735033","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
27,"Sun Feb 16 2025 7:44:18 PM",1739735058,"Fastball","N","-10.70","28.10",77.23,1586.2,1507.7,95,"02:22",1,5.4,17.1,"-","-","5.9","17.3","-4.78","1.99","3.88","2.05",2.041271209716797,"18.11","1277838@1739735058","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
28,"Sun Feb 16 2025 7:45:04 PM",1739735104,"Fastball","Y","3.79","23.81",83.83,2047.8,1765,86.2,"01:32",0.8,5.8,19.7,"-","-","12.6","12.8","-3.32","0.68","4.11","1.70",2.0447025299072266,"30.47","1277838@1739735104","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
