
"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Release Extension (ft)","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle"
18,"Sun Feb 16 2025 6:48:33 PM",1739731713,"ChangeUp","Y","7.99","26.71",76.09,1909.8,1728.8,90.5,"01:26",0.9,12.1,18.3,"-","-","13.9","13.3","-3.99","-1.13","5.75","2.75","-","-25.15","1269881@1739731713","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
19,"Sun Feb 16 2025 6:48:53 PM",1739731733,"Fastball","N","20.11","34.28",81.46,2001.8,1706.2,85.2,"01:48",0.8,18,19.5,"-","-","11.1","15.1","-3.11","-1.11","5.70","2.91",1.9535446,"-31.53","1269881@1739731733","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
20,"Sun Feb 16 2025 6:49:08 PM",1739731748,"Fastball","N","12.35","30.96",84.12,2028.7,1783.5,87.9,"01:30",0.8,17.7,20.2,"-","-","13.6","13.6","-3.73","-1.36","5.66","2.78",1.8888054,"-28.46","1269881@1739731748","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
21,"Sun Feb 16 2025 6:49:27 PM",1739731767,"Fastball","N","10.54","32.27",82.79,1935.9,1681.7,86.9,"01:50",0.9,12.3,18.2,"-","-","10.2","14.6","-3.91","-0.57","5.46","2.90","-","-29.70","1269881@1739731767","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
22,"Sun Feb 16 2025 6:49:43 PM",1739731783,"Fastball","N","25.64","42.82",82.98,2108.3,1672.2,79.3,"01:42",0.9,15.4,17.5,"-","-","10.9","13.5","-2.51","-0.30","5.67","2.97",2.0961666,"-37.52","1269881@1739731783","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
23,"Sun Feb 16 2025 6:50:00 PM",1739731800,"Fastball","Y","5.87","24.40",85.04,1963.6,1717,87.4,"01:52",0.8,9,22.3,"-","-","10.3","15.6","-4.86","-1.04","5.49","3.10",1.952919,"-29.02","1269881@1739731800","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
24,"Sun Feb 16 2025 6:50:25 PM",1739731825,"ChangeUp","Y","-8.33","27.51",76.91,1538.1,1329.3,86.4,"02:00",0.9,10.9,16.1,"-","-","8.4","14.4","-4.96","-0.50","5.53","2.45","-","-30.20","1269881@1739731825","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
25,"Sun Feb 16 2025 6:50:41 PM",1739731841,"ChangeUp","N","-20.53","27.73",76.19,1581.4,474.3,30,"04:40",1,-1.3,2.6,"-","-","-4.4","2.7","-4.82","0.84","5.54","2.45","-","72.55","1269881@1739731841","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
26,"Sun Feb 16 2025 6:50:58 PM",1739731858,"ChangeUp","N","-24.25","19.85",75.06,1643.7,645.5,39.3,"05:12",0.9,-1.7,-0.3,"-","-","-7.1","2.0","-5.11","0.19","5.54","2.61","-","66.88","1269881@1739731858","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
27,"Sun Feb 16 2025 6:51:14 PM",1739731874,"Fastball","N","-12.66","28.72",83.49,2085.6,1816,87.1,"01:48",0.9,15.4,17.3,"-","-","11.3","15.5","-5.36","-1.61","5.72","2.39",2.0551682,"-29.46","1269881@1739731874","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
28,"Sun Feb 16 2025 6:51:34 PM",1739731894,"Fastball","Y","-0.65","31.58",78.72,1799.8,1557.4,86.5,"02:28",1,7.1,18.5,"-","-","5.1","17.0","-4.57","0.23","5.40","2.53","-","-30.08","1269881@1739731894","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
29,"Sun Feb 16 2025 6:52:04 PM",1739731924,"Fastball","N","-15.73","36.47",84,2027.3,1716.5,84.7,"01:46",0.8,2.8,20.5,"-","-","11.2","14.8","-6.14","0.44","5.59","2.64",1.9376049,"-32.15","1269881@1739731924","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
30,"Sun Feb 16 2025 6:52:40 PM",1739731960,"ChangeUp","N","-23.07","17.14",73.89,1662,665.8,40.1,"05:00",0.9,-2.4,1.8,"-","-","-7.1","2.8","-5.13","0.12","5.62","2.60",2.1224709,"66.39","1269881@1739731960","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
31,"Sun Feb 16 2025 6:53:00 PM",1739731980,"Fastball","Y","-8.69","40.01",84.17,2006,1774.4,88.5,"01:34",0.9,12.7,18.8,"-","-","12.9","13.8","-5.37","-0.26","5.72","2.61",2.057846,"-27.81","1269881@1739731980","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
