"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle","Session Name","Intent Type","Release Extension (ft)"
13,"Sat Sep 20 2025 3:58:44 PM",1758383924,"Fastball","N",11.33,24.06,84.3,1817.48,1807.8,99.47,"02:02",1,9.5,20.5,"-","-",9.7,18.3,-2.29,0,4.88,1.35,5.91,"1501260@1758383924","V3P4EAHH4756A",1,-3.7578557,17.974308,1,0,0.82589245,0.074236766,-0.5589191,-0.039676894,0.9964889,0.073726706,0.5624299,-0.03871416,0.82593817,1.691459,-6.669067,"untitled","-",6.263287411095
14,"Sat Sep 20 2025 3:58:08 PM",1758383888,"Slider","N",-4.55,43.34,65.52,2060.5,1048.1,50.87,"08:20",1,2.6,-14.8,"-","-",-5.2,-14,-0.72,4.56,4.71,1.52,59.42,"1501260@1758383888","V3P4EAHH4756A",1,1.7668362,28.05358,0.5,0,0.41394562,-0.12613471,0.9015204,-0.9093436,-0.011874032,0.41587633,-0.041751716,-0.991942,-0.11961496,-3.4989285,-7.5305877,"untitled","-",5.52921457533354
15,"Sat Sep 20 2025 3:57:51 PM",1758383871,"Fastball","Y",-5.63,22.59,83.3,1679.54,1626.2,96.82,"02:06",1,8.8,17.6,"-","-",9,18.3,-3.3,-0.14,5.01,1.15,14.48,"1501260@1758383871","V3P4EAHH4756A",1,-0.5987723,28.224758,1,0,0.6890403,0.2330667,-0.68622404,-0.034284823,0.9563004,0.29036894,0.7239116,-0.17654882,0.6669201,0.013433749,-6.8689003,"untitled","-",5.53436483780856
16,"Sat Sep 20 2025 3:57:01 PM",1758383821,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1501260@1758383821","V3P4EAHH4756A",0,0,0,1,0,-0.6316136,0.3024982,-0.71383405,0.45616728,0.8894937,-0.026688589,0.62687767,-0.34248462,-0.6998061,"-","-","untitled","-","-"
17,"Sat Sep 20 2025 3:56:52 PM",1758383812,"ChangeUp","N",24.19,40.23,68.8,1535.59,1534.9,99.96,"02:32",1,11.5,19.9,"-","-",4.7,21.7,-1.15,2.71,4.96,1.43,-1.67,"1501260@1758383812","V3P4EAHH4756A",1,11.110056,105.491684,1,0,-0.6316136,0.3024982,-0.71383405,0.45616728,0.8894937,-0.026688589,0.62687767,-0.34248462,-0.6998061,2.6069627,-6.653053,"untitled","-",5.335513787637541
18,"Sat Sep 20 2025 3:56:39 PM",1758383799,"ChangeUp","Y",3.37,23.8,69.79,1552.94,1525.5,98.23,"02:34",1,7,21.4,"-","-",4.2,21.5,-3.23,1.51,4.98,1.53,-10.79,"1501260@1758383799","V3P4EAHH4756A",1,3.770275,98.88728,1,0,-0.62221926,-0.019122304,-0.7826095,0.33909458,0.8944657,-0.291455,0.7055906,-0.44672754,-0.5500695,0.8100953,-8.442038,"untitled","-",5.350263131491981
19,"Sat Sep 20 2025 3:56:27 PM",1758383787,"Slider","Y",-7.72,31.73,64.93,2061.36,1054.2,51.14,"08:04",1,"-","-","-","-",-7,-13.6,-0.66,3.49,4.95,1.49,59.24,"1501260@1758383787","V3P4EAHH4756A",1,-1.4371939,36.293457,1,0,0.35793442,0.034231547,0.93311894,-0.9337262,0.0065099387,0.35792834,0.0061780456,-0.99939257,0.03429314,-4.114494,-9.143847,"untitled","-",5.40380414207205
20,"Sat Sep 20 2025 3:56:14 PM",1758383774,"Slider","Y",-6.74,25.53,66.17,2079.07,849.5,40.86,"07:34",1,-3.7,-14.2,"-","-",-8.3,-9.7,-1.46,3.07,5.08,1.5,65.88,"1501260@1758383774","V3P4EAHH4756A",1,-8.113994,20.007477,1,0,0.82678497,0.05949665,0.55936277,-0.53163457,-0.24230787,0.8115734,0.18382396,-0.9683733,-0.16870601,-3.0005813,-9.931596,"untitled","-",5.1601601128303205
21,"Sat Sep 20 2025 3:55:55 PM",1758383755,"Fastball","N",17.75,47.69,83.1,1445.63,1402.2,96.99,"01:52",1,11.7,11.9,"-","-",10,15.7,-0.61,1.81,5.34,1.06,14.08,"1501260@1758383755","V3P4EAHH4756A",1,18.019518,26.494516,0.5,0,0.80406064,0.23985633,-0.5440179,0.12336306,0.82779276,0.54730314,0.58160824,-0.50717664,0.6360061,1.6587877,-5.1869187,"untitled","-",5.68367979866544
22,"Sat Sep 20 2025 3:55:43 PM",1758383743,"Fastball","N",9.39,54.58,82.6,1433.12,1365.9,95.31,"01:48",1,8.6,8,"-","-",10.6,15.4,-0.87,2.46,5.45,0.93,17.62,"1501260@1758383743","V3P4EAHH4756A",1,19.569738,7.0070124,1,0,0.9651793,0.079950824,-0.24907173,0.099791266,0.76761,0.63310075,0.24180688,-0.6359109,0.7329029,0.63079304,-4.7536793,"untitled","-",5.122294955292451
23,"Sat Sep 20 2025 3:55:18 PM",1758383718,"Fastball","N",12.85,74.95,81.2,1349.45,1289.8,95.58,"01:52",1,"-","-","-","-",10,15.5,-0.53,4.37,5.53,0.98,17.1,"1501260@1758383718","V3P4EAHH4756A",1,15.227376,22.474026,1,0,0.85098094,0.25469914,-0.45930362,0.07723856,0.8043345,0.5891351,0.51948595,-0.53681874,0.66480076,0.7904091,-3.2671475,"untitled","-",5.1479265170112
